radio-m;2;Radio(m);Metric Radio Source;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#mR)
radio-cm;2;Radio(cm);Centimetric Radio Source;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#cm)
radio-mm;2;Radio(mm);Millimetric Radio Source;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#mm)
radio-sub-mm;2;Radio(sub-mm);Sub-Millimetric Source;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#smm)
h-i;2;HI;HI (21cm) Source;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#HI)
radio-burst;2;radioBurst;Radio Burst;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#rB) skos:exactMatch(http://astrothesaurus.org/uat/1339)
maser;2;Maser;Maser;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#Mas) skos:exactMatch(http://astrothesaurus.org/uat/103)
super-cl-g;1;SuperClG;Supercluster of Galaxies;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#SCG) skos:exactMatch(http://astrothesaurus.org/uat/1657)
uv;1;UV;UV-emission Source;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#UV) skos:exactMatch(http://astrothesaurus.org/uat/1741)
x;1;X;X-ray Source;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#X) skos:exactMatch(http://astrothesaurus.org/uat/1822)
ul-x;2;ULX;Ultra-luminous X-ray Source;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#ULX)
inexistent;1;Inexistent;Not an Object (Error, Artefact, ...);skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#err)
transient;1;Transient;Transient Event;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#ev) skos:exactMatch(http://astrothesaurus.org/uat/1851)
gamma;1;gamma;Gamma-ray Source;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#gam) skos:exactMatch(http://astrothesaurus.org/uat/633)
gamma-burst;2;gammaBurst;Gamma-ray Burst;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#gB) skos:exactMatch(http://astrothesaurus.org/uat/629)
gravitation;1;Gravitation;Gravitational Source;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#grv)
lensing-ev;2;LensingEv;(Micro)Lensing Event;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#Lev) skos:exactMatch(http://astrothesaurus.org/uat/670)
grav-lens-system;2;GravLensSystem;Gravitational Lens System (lens+images);skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#gLS)
grav-lens;3;GravLens;Gravitational Lens;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#gLe)
lensed-image;3;LensedImage;Gravitationally Lensed Image;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#LeI)
lensed-g;4;LensedG;Gravitationally Lensed Image of a Galaxy;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#LeG)
lensed-q;4;LensedQ;Gravitationally Lensed Image of a Quasar;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#LeQ) skos:exactMatch(http://astrothesaurus.org/uat/671)
bh;2;BH;Black Hole;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#BH) skos:exactMatch(http://astrothesaurus.org/uat/162)
grav-wave-event;2;GravWaveEvent;Gravitational Wave Event;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#GWE) skos:exactMatch(http://astrothesaurus.org/uat/677)
multiple-object;1;multiple_object;Composite Object, Blend;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#mul)
region;1;Region;Region defined in the Sky;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#reg)
void;1;Void;Underdense Region of the Universe;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#vid) skos:exactMatch(http://astrothesaurus.org/uat/1779)
